Bter_ID,Amel.GB
LOC100643343,GB40217
LOC100643465,GB40218
LOC100645655,GB40219
LOC100643956,GB40221
LOC100643956,GB40221
LOC100643829,GB40222
LOC100643713,GB40225
LOC100643713,GB40225
LOC100643713,GB40225
LOC100644658,GB40226
LOC100644225,GB40227
LOC100645539,GB40228
LOC105666558,GB40232
LOC105666558,GB40232
LOC100650665,GB40234
LOC100650665,GB40234
LOC100650665,GB40234
LOC100650665,GB40234
LOC100650665,GB40234
LOC100644699,GB40237
LOC100648147,GB40238
LOC100651583,GB40239
LOC100651583,GB40239
LOC100642903,GB40240
LOC100645566,GB40243
LOC100645566,GB40243
LOC100647234,GB40248
LOC100650386,GB40249
LOC100649920,GB40251
LOC100649920,GB40251
LOC100649920,GB40251
LOC100644189,GB40252
LOC100646044,GB40253
LOC100646157,GB40254
LOC100646157,GB40254
LOC100647299,GB40259
LOC100650602,GB40263
LOC100652239,GB40265
LOC100652239,GB40265
LOC100652239,GB40265
LOC100652239,GB40265
LOC100652239,GB40265
LOC100652239,GB40265
LOC100652239,GB40265
LOC100652239,GB40265
LOC100644807,GB40267
LOC100644807,GB40267
LOC100644807,GB40267
LOC100644807,GB40267
LOC100644807,GB40267
LOC100644807,GB40267
LOC100649932,GB40268
LOC100644487,GB40269
LOC100643696,GB40270
LOC100643696,GB40270
LOC100649454,GB40271
LOC100649454,GB40271
LOC100648281,GB40273
LOC100648281,GB40273
LOC100648281,GB40273
LOC100648281,GB40273
LOC100642759,GB40274
LOC100642261,GB40278
LOC100642261,GB40278
LOC100643502,GB40279
LOC100648453,GB40280
LOC100648453,GB40280
LOC100648338,GB40282
LOC100648338,GB40282
LOC100648338,GB40282
LOC100648338,GB40282
LOC100648338,GB40282
LOC100648338,GB40282
LOC100648338,GB40282
LOC100647910,GB40283
LOC100647910,GB40283
LOC100647910,GB40283
LOC100647910,GB40283
LOC100649469,GB40284
LOC100648257,GB40285
LOC100648257,GB40285
LOC100648257,GB40286
LOC100648257,GB40286
LOC100647785,GB40287
LOC100647785,GB40287
LOC100647549,GB40288
LOC100648143,GB40289
LOC100648143,GB40289
LOC100648143,GB40289
LOC100648143,GB40289
LOC100650052,GB40296
LOC105666332,GB40297
LOC105666332,GB40297
LOC100648993,GB40301
LOC100648993,GB40301
LOC100645172,GB40302
LOC100644616,GB40304
LOC100645888,GB40305
LOC100648651,GB40306
LOC100652323,GB40307
LOC100650822,GB40308
LOC100650822,GB40308
LOC100646480,GB40309
LOC100646154,GB40310
LOC100646154,GB40310
LOC100646154,GB40310
LOC100646154,GB40310
LOC100646154,GB40310
LOC100646154,GB40310
LOC110119755,GB40311
LOC100647817,GB40312
LOC100647817,GB40312
LOC100647817,GB40312
LOC110119767,GB40314
LOC110119767,GB40314
LOC100649308,GB40316
LOC100648288,GB40319
LOC100650817,GB40320
LOC100650817,GB40320
LOC100645566,GB40330
LOC100645566,GB40330
LOC100642365,GB40332
LOC100644552,GB40333
LOC100644552,GB40333
LOC100648282,GB40335
LOC100648282,GB40335
LOC100648282,GB40335
LOC100648282,GB40335
LOC100648282,GB40336
LOC100648282,GB40336
LOC100648282,GB40336
LOC100648282,GB40336
LOC100646164,GB40337
LOC100648056,GB40338
LOC100647581,GB40339
LOC100647341,GB40340
LOC100646419,GB40341
LOC100646541,GB40342
LOC100646149,GB40343
