Bter_ID,Mated_3,Mated_4,Mated_17,Mated_18,Mated_22,Diapause_33,Diapause_34,Diapause_35,Diapause_36,Diapause_37,Founder_Diapause_40,Founder_Diapause_41,Founder_Diapause_42,Founder_Diapause_80,Founder_Diapause_83
LOC100645484,181,41,302,104,252,179,359,242,273,363,315,659,250,595,465
LOC100644388,341,159,340,445,301,132,305,171,205,237,52,126,89,70,104
LOC100644987,799,95,1205,865,1510,1890,548,419,513,789,1672,1325,1962,2169,1288
LOC100644713,14826,2795,31448,30612,21570,13816,23794,18914,15328,14103,493,1853,3777,1194,4896
LOC100642533,27,17,15,10,32,12,178,184,54,59,8,32,23,16,16
LOC100648007,7,13,14,33,8,31,33,21,37,12,2,9,4,6,9
LOC100644475,169,52,356,197,495,306,164,106,123,240,1209,406,678,1025,687
LOC100650768,139,15,486,384,440,124,276,362,107,265,39,66,83,50,96
LOC100650450,505,86,1463,738,1620,671,332,226,216,552,388,417,662,972,643
LOC100648853,259,67,365,239,349,321,235,164,215,277,486,646,580,645,633
LOC100650820,1324,64,815,488,2268,3994,642,412,312,324,5113,2736,5660,5839,3093
LOC100647654,160,45,182,184,211,333,120,129,144,202,285,256,199,419,277
LOC100649561,795,214,854,812,597,686,814,692,870,476,80,400,123,260,384
LOC100643362,381,80,751,359,739,603,310,254,174,462,308,367,452,777,558
LOC100650844,430,200,256,180,309,240,828,810,1068,1218,68,401,117,260,395
LOC100651351,584,154,712,597,667,709,691,597,761,768,83,400,256,383,410
LOC100644852,131,32,207,154,241,223,119,106,74,141,94,143,163,216,180
LOC100643233,9,3,12,4,7,18,12,146,172,10,6,1,4,8,6
LOC100647783,193,52,454,242,511,344,76,78,78,168,1724,370,659,911,729
LOC100643648,83,28,161,84,209,150,122,104,65,168,179,86,110,315,321
LOC100648408,313,65,372,350,263,317,966,793,969,983,37,214,124,136,260
LOC100645341,86,16,153,78,131,187,115,89,73,192,220,191,68,278,192
LOC100651180,32,2,60,30,52,53,18,23,17,20,43,164,41,243,154
LOC100646784,230,56,304,335,311,324,905,712,596,286,48,372,164,386,321
LOC100648136,342,90,339,207,314,211,161,159,114,199,63,234,73,214,204
LOC100650150,2249,99,1850,256,6384,553,344,154,398,143,7332,2036,1760,3242,4528
LOC100649703,265,46,203,217,201,212,397,424,555,388,39,126,71,81,121
LOC100646242,401,180,1125,1215,1305,804,749,767,378,532,456,939,1167,639,738
LOC100648513,422,136,661,596,495,504,344,309,242,470,56,502,229,257,384
